ano,url,nivel
1988,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/1988_alcaldia.dta.csv,Alcaldia
1990,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/1990_alcaldia.dta.csv,Alcaldia
1992,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/1992_alcaldia.dta.csv,Alcaldia
1994,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/1994_alcaldia.dta.csv,Alcaldia
1997,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/1997_alcaldia.dta.csv,Alcaldia
2000,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/2000_alcaldia.dta.csv,Alcaldia
2003,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/2003_alcaldia.dta.csv,Alcaldia
2007,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/2007_alcaldia.dta.csv,Alcaldia
2011,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/2011_alcaldia.dta.csv,Alcaldia
2015,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/2015_alcaldia.dta.csv,Alcaldia
2019,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Alcaldia/2019_alcaldia.dta.csv,Alcaldia
1958,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1958_asamblea.dta.csv,Asamblea
1962,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1962_asamblea.dta.csv,Asamblea
1964,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1964_asamblea.dta.csv,Asamblea
1966,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1966_asamblea.dta.csv,Asamblea
1968,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1968_asamblea.dta.csv,Asamblea
1970,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1970_asamblea.dta.csv,Asamblea
1972,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1972_asamblea.dta.csv,Asamblea
1974,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1974_asamblea.dta.csv,Asamblea
1976,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1976_asamblea.dta.csv,Asamblea
1978,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1978_asamblea.dta.csv,Asamblea
1980,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1980_asamblea.dta.csv,Asamblea
1982,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1982_asamblea.dta.csv,Asamblea
1984,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1984_asamblea.dta.csv,Asamblea
1986,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1986_asamblea.dta.csv,Asamblea
1988,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1988_asamblea.dta.csv,Asamblea
1990,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1990_asamblea.dta.csv,Asamblea
1992,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1992_asamblea.dta.csv,Asamblea
1994,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1994_asamblea.dta.csv,Asamblea
1997,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/1997_asamblea.dta.csv,Asamblea
2000,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/2000_asamblea.dta.csv,Asamblea
2003,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/2003_asamblea.dta.csv,Asamblea
2007,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/2007_asamblea.dta.csv,Asamblea
2011,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/2011_asamblea.dta.csv,Asamblea
2015,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/2015_asamblea.dta.csv,Asamblea
2019,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Asamblea/2019_asamblea.dta.csv,Asamblea
1958,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1958_camara.dta.csv,Camara
1962,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1962_camara.dta.csv,Camara
1964,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1964_camara.dta.csv,Camara
1966,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1966_camara.dta.csv,Camara
1968,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1968_camara.dta.csv,Camara
1970,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1970_camara.dta.csv,Camara
1974,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1974_camara.dta.csv,Camara
1978,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1978_camara.dta.csv,Camara
1982,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1982_camara.dta.csv,Camara
1986,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1986_camara.dta.csv,Camara
1990,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1990_camara.dta.csv,Camara
1991,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1991_camara.dta.csv,Camara
1994,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1994_camara.dta.csv,Camara
1998,https://s3.amazonaws.com/cedae.dskt.ch/resultados/Camara/1998_camara.dta.csv,Camara
