id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules
619940001,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Municipal,18490002,50,1,VILLEGAS,,GUSTAVO ALBERTO,2090,0
619940001,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Municipal,19940026,51,1,AGUIRRE,SANIN,AURELIO,33512,0
619940001,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Municipal,18490002,52,1,MONSALVE,ARANGO,LUIS EMILIO,1318,0
619940001,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Municipal,18480001,53,1,VASQUEZ,OSORIO,ALVARO,58736,0
619940001,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Municipal,18490002,54,1,NARANJO,PEREZ,SERGIO GABRIEL,70978,1
619940001,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Municipal,18480001,55,1,RUIZ,PEREZ,JUAN CAMILO,5054,0
619940001,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,998,,VOTOS NULOS,,,6193,0
619940001,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5001,MEDELLIN,Municipal,,999,,VOTOS EN BLANCO,,,4384,0
619940002,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,18490002,51,1,MORALES,,HERNANDO DE JESUS,2550,1
619940002,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,994,,RESTO DE VOTACION,,,2329,0
619940002,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,998,,VOTOS NULOS,,,246,0
619940002,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5002,ABEJORRAL,Municipal,,999,,VOTOS EN BLANCO,,,43,0
619940003,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,19940016,51,1,VELEZ,GIRALDO,JULIO EMILIO,634,1
619940003,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,994,,RESTO DE VOTACION,,,469,0
619940003,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,998,,VOTOS NULOS,,,34,0
619940003,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5004,ABRIAQUI,Municipal,,999,,VOTOS EN BLANCO,,,9,0
619940004,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,18490002,51,1,VALENCIA,V,OSCAR IGNACIO,988,1
619940004,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,994,,RESTO DE VOTACION,,,892,0
619940004,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,998,,VOTOS NULOS,,,52,0
619940004,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5021,ALEJANDRIA,Municipal,,999,,VOTOS EN BLANCO,,,5,0
619940005,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5030,AMAGA,Municipal,18480001,51,1,ALVAREZ,,CUSTODIO,2007,1
619940005,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5030,AMAGA,Municipal,,994,,RESTO DE VOTACION,,,3384,0
619940005,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5030,AMAGA,Municipal,,998,,VOTOS NULOS,,,215,0
619940005,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5030,AMAGA,Municipal,,999,,VOTOS EN BLANCO,,,84,0
619940006,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Municipal,18480001,51,1,QUINTERO,C,FRANCISCO A,2754,1
619940006,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Municipal,,994,,RESTO DE VOTACION,,,1271,0
619940006,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Municipal,,998,,VOTOS NULOS,,,202,0
619940006,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5031,AMALFI,Municipal,,999,,VOTOS EN BLANCO,,,25,0
619940007,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5034,ANDES,Municipal,18490002,51,1,ARBELAEZ,,JAIME DE JESUS,3147,1
619940007,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5034,ANDES,Municipal,,994,,RESTO DE VOTACION,,,4790,0
619940007,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5034,ANDES,Municipal,,998,,VOTOS NULOS,,,588,0
619940007,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5034,ANDES,Municipal,,999,,VOTOS EN BLANCO,,,65,0
619940008,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Municipal,18480001,51,1,HINCAPIE,PEREZ,EFREN,709,1
619940008,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Municipal,,994,,RESTO DE VOTACION,,,1390,0
619940008,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Municipal,,998,,VOTOS NULOS,,,91,0
619940008,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5036,ANGELOPOLIS,Municipal,,999,,VOTOS EN BLANCO,,,6,0
619940009,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Municipal,18480001,51,1,VALENCIA,MA,RICARDO LEON,1316,1
619940009,1994,Alcaldía Municipal,Octubre 30,5,ANTIOQUIA,5038,ANGOSTURA,Municipal,,994,,RESTO DE VOTACION,,,398,0
